;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INSTNR;GRADE;TYPE;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;
101024;3. klassetrin;Dansk;22;30;9;24;34;37;45;36;41;;;;;
101029;3. klassetrin;Dansk;10;8;13;16;9;14;10;18;24;20;12;36;33;
101030;3. klassetrin;Dansk;61;65;49;42;54;41;44;39;49;49;41;57;62;
101034;3. klassetrin;Dansk;15;19;10;26;18;24;25;25;38;52;65;70;51;
101035;3. klassetrin;Dansk;35;62;60;64;94;81;85;92;83;85;80;83;66;
101039;3. klassetrin;Dansk;41;42;50;46;47;48;45;41;38;28;18;30;28;
101041;3. klassetrin;Dansk;52;69;54;58;61;59;48;61;48;70;54;49;61;
101042;3. klassetrin;Dansk;60;36;49;35;48;35;29;47;36;41;42;53;39;
101043;3. klassetrin;Dansk;48;45;42;51;50;78;58;66;63;78;97;70;72;
101045;3. klassetrin;Dansk;;;;;;;;8;19;24;19;27;26;
101047;3. klassetrin;Dansk;65;73;59;75;67;67;55;84;77;67;71;77;65;
101049;3. klassetrin;Dansk;25;22;21;15;20;22;32;38;33;45;66;75;76;
101050;3. klassetrin;Dansk;18;14;8;25;24;16;10;8;18;16;21;28;37;
101051;3. klassetrin;Dansk;52;64;48;67;69;62;72;89;100;101;90;108;99;
101052;3. klassetrin;Dansk;47;50;50;54;41;45;44;;;;;;;
101053;3. klassetrin;Dansk;73;74;66;75;77;81;80;84;82;78;78;93;102;
101055;3. klassetrin;Dansk;28;28;28;29;35;36;39;47;63;37;73;69;48;
101058;3. klassetrin;Dansk;39;55;48;57;49;49;67;74;81;84;110;82;80;
101059;3. klassetrin;Dansk;62;65;71;84;87;103;100;112;134;139;133;136;140;
101060;3. klassetrin;Dansk;52;45;31;36;33;28;18;33;30;43;53;53;49;
101062;3. klassetrin;Dansk;12;13;16;18;38;18;12;33;26;31;24;27;44;
101063;3. klassetrin;Dansk;16;8;14;20;13;8;17;14;21;24;34;31;33;
101064;3. klassetrin;Dansk;63;68;49;63;70;78;68;80;97;84;95;66;85;
101069;3. klassetrin;Dansk;54;36;42;38;48;48;44;42;44;60;42;69;74;
101070;3. klassetrin;Dansk;42;46;47;44;41;41;50;67;46;62;51;51;47;
101071;3. klassetrin;Dansk;37;43;43;37;36;29;38;45;43;36;28;31;27;
101072;3. klassetrin;Dansk;17;17;17;21;21;22;25;22;18;25;39;26;26;
101074;3. klassetrin;Dansk;38;44;48;47;53;54;54;55;59;75;41;62;72;
101075;3. klassetrin;Dansk;20;28;38;32;31;42;39;72;48;69;67;68;53;
101076;3. klassetrin;Dansk;15;23;13;12;37;26;34;49;49;61;62;80;61;
101077;3. klassetrin;Dansk;6;;;;;;;;;;;;;
101078;3. klassetrin;Dansk;28;15;14;7;15;15;13;10;18;18;14;21;15;
101079;3. klassetrin;Dansk;22;24;24;22;23;24;23;23;25;21;24;23;23;
101080;3. klassetrin;Dansk;38;34;31;34;20;14;30;17;18;15;20;22;22;
101081;3. klassetrin;Dansk;30;35;37;43;37;45;83;81;85;74;54;61;54;
101082;3. klassetrin;Dansk;11;20;22;12;24;20;20;25;31;32;20;32;23;
101083;3. klassetrin;Dansk;39;38;36;34;38;41;38;38;40;39;37;38;37;
101084;3. klassetrin;Dansk;42;37;42;37;46;46;49;46;49;46;71;48;47;
101086;3. klassetrin;Dansk;39;36;38;38;39;38;41;39;40;38;40;41;41;
101087;3. klassetrin;Dansk;18;14;14;17;19;18;20;20;19;19;20;19;20;
101088;3. klassetrin;Dansk;38;42;40;40;41;41;41;42;38;43;39;43;40;
101089;3. klassetrin;Dansk;27;22;27;35;29;42;43;33;41;44;51;39;35;
101090;3. klassetrin;Dansk;18;18;21;22;20;12;20;23;21;23;15;38;19;
101091;3. klassetrin;Dansk;19;16;20;16;21;14;19;21;19;19;20;18;19;
101092;3. klassetrin;Dansk;21;20;19;22;21;23;19;25;25;22;24;24;23;
101093;3. klassetrin;Dansk;;10;16;6;7;13;9;21;8;11;13;19;19;
101094;3. klassetrin;Dansk;14;;;9;8;12;5;;;;6;;8;
101098;3. klassetrin;Dansk;5;;7;5;5;5;8;7;6;6;6;14;20;
101111;3. klassetrin;Dansk;43;42;42;44;45;45;45;46;45;45;45;44;44;
101127;3. klassetrin;Dansk;15;11;15;14;14;14;15;18;18;20;20;19;16;
101129;3. klassetrin;Dansk;13;15;17;14;14;15;;16;;12;16;16;14;
101132;3. klassetrin;Dansk;11;17;17;15;12;15;19;17;20;19;19;19;20;
101133;3. klassetrin;Dansk;17;18;18;19;17;18;21;20;22;19;20;21;19;
101135;3. klassetrin;Dansk;19;19;17;17;20;17;20;20;20;19;20;19;21;
101138;3. klassetrin;Dansk;42;46;39;47;45;33;48;49;40;38;37;31;37;
101140;3. klassetrin;Dansk;16;18;18;15;19;21;20;19;21;19;21;22;18;
101145;3. klassetrin;Dansk;17;20;17;22;22;21;22;23;20;23;20;22;22;
101149;3. klassetrin;Dansk;9;11;15;19;17;15;24;18;16;13;12;9;20;
101151;3. klassetrin;Dansk;32;43;45;43;47;33;45;54;49;33;55;71;31;
101152;3. klassetrin;Dansk;7;5;7;;;6;7;;6;7;6;6;5;
101153;3. klassetrin;Dansk;45;44;47;46;48;46;46;46;48;46;62;44;42;
101155;3. klassetrin;Dansk;54;56;51;60;53;57;62;58;53;56;62;59;57;
101157;3. klassetrin;Dansk;66;57;66;84;64;82;61;63;66;60;59;55;52;
101158;3. klassetrin;Dansk;81;76;80;80;80;79;78;80;80;76;75;76;80;
101162;3. klassetrin;Dansk;10;6;11;11;8;10;10;14;7;11;10;8;12;
101163;3. klassetrin;Dansk;;;;;;;;;;;;7;9;
101166;3. klassetrin;Dansk;;;;;;;;;;;;;;
101169;3. klassetrin;Dansk;;;;;;;11;8;7;8;6;10;10;
101172;3. klassetrin;Dansk;;;;;;;;;;;7;;10;
101174;3. klassetrin;Dansk;14;10;16;27;36;39;43;76;68;69;81;86;84;
101175;3. klassetrin;Dansk;52;45;46;46;59;79;78;100;90;88;114;112;87;
101178;3. klassetrin;Dansk;8;;5;7;7;;;7;10;12;9;14;16;
101180;3. klassetrin;Dansk;;;;;;;;;;;;;;
101181;3. klassetrin;Dansk;;;;;6;10;10;24;14;13;14;9;16;
101184;3. klassetrin;Dansk;;;7;;7;5;8;;8;11;9;9;11;
101185;3. klassetrin;Dansk;12;10;13;13;12;14;16;12;12;14;12;14;13;
101188;3. klassetrin;Dansk;11;10;11;12;10;11;18;16;8;14;20;19;16;
101189;3. klassetrin;Dansk;;;;;;;;;;6;;5;;
101191;3. klassetrin;Dansk;21;21;23;20;25;23;25;24;23;24;25;24;24;
101516;3. klassetrin;Dansk;6;;5;8;9;11;14;10;19;21;17;17;16;
101525;3. klassetrin;Dansk;;;;9;;7;8;8;5;7;9;8;9;
101526;3. klassetrin;Dansk;;6;;;5;;;;;;6;;6;
101533;3. klassetrin;Dansk;11;;20;16;17;;15;17;17;19;11;23;22;
101537;3. klassetrin;Dansk;55;74;56;51;52;56;51;43;51;49;52;48;49;
101538;3. klassetrin;Dansk;7;10;8;9;9;8;12;11;8;9;13;25;10;
101540;3. klassetrin;Dansk;35;36;32;39;49;52;59;56;52;64;56;72;60;
101541;3. klassetrin;Dansk;7;;;5;7;12;5;7;7;16;14;8;;
101543;3. klassetrin;Dansk;;;;;;;;;5;;;;;
101563;3. klassetrin;Dansk;;;;;;;;;6;9;;;;
101564;3. klassetrin;Dansk;;;;;;;;;;;;;;
101566;3. klassetrin;Dansk;7;;9;;6;;6;6;;;;5;11;
101567;3. klassetrin;Dansk;;;;;;;;;;;;;;
101569;3. klassetrin;Dansk;;;;;;;;;;;;;;
101572;3. klassetrin;Dansk;26;17;29;40;39;40;52;78;72;97;86;78;67;
101575;3. klassetrin;Dansk;;;;;;;;;;;;;;
101580;3. klassetrin;Dansk;;7;;;;5;5;5;8;7;7;6;7;
101581;3. klassetrin;Dansk;;;;;;;;;;;;;;
101584;3. klassetrin;Dansk;6;11;8;7;16;9;13;29;22;20;5;;;
101585;3. klassetrin;Dansk;15;23;20;17;22;23;17;22;18;24;20;25;20;
101586;3. klassetrin;Dansk;;45;59;52;70;77;47;49;48;50;51;40;48;
101592;3. klassetrin;Dansk;8;9;8;;;;;;;;;;8;
101593;3. klassetrin;Dansk;;;;;6;7;8;9;6;8;;9;6;
101594;3. klassetrin;Dansk;;;;;;;;5;;;;;;
101618;3. klassetrin;Dansk;;;;;;;5;;;;;;;
101619;3. klassetrin;Dansk;;;;;;;;;;7;;6;;
101621;3. klassetrin;Dansk;;;;;;6;9;12;7;6;11;6;13;
101908;3. klassetrin;Dansk;5;6;6;;8;;8;;;11;;7;15;
101910;3. klassetrin;Dansk;;;5;;;;;;;6;7;7;7;
101911;3. klassetrin;Dansk;;;;;;;;;;;;;;
147002;3. klassetrin;Dansk;57;51;39;23;70;65;69;63;86;79;86;77;82;
147006;3. klassetrin;Dansk;47;55;67;64;65;79;73;69;56;77;55;81;70;
147007;3. klassetrin;Dansk;61;60;62;80;89;60;77;94;71;98;83;95;62;
147008;3. klassetrin;Dansk;57;54;84;70;75;97;72;78;89;83;92;99;76;
147010;3. klassetrin;Dansk;62;68;88;83;85;77;72;77;66;77;70;56;64;
147012;3. klassetrin;Dansk;62;67;64;69;67;78;75;81;74;97;77;85;98;
147017;3. klassetrin;Dansk;24;21;22;23;25;23;23;21;24;24;24;23;23;
147018;3. klassetrin;Dansk;41;38;37;39;43;43;46;44;42;42;44;42;40;
147019;3. klassetrin;Dansk;32;29;40;42;33;31;30;37;52;34;40;31;27;
147030;3. klassetrin;Dansk;9;11;10;;;;;;;;;;;
147031;3. klassetrin;Dansk;20;20;20;20;19;21;22;21;6;21;22;21;22;
147033;3. klassetrin;Dansk;6;13;8;15;7;15;11;13;14;11;15;13;15;
147034;3. klassetrin;Dansk;46;43;45;46;45;47;49;48;48;45;49;50;51;
147040;3. klassetrin;Dansk;;;;;;;;;;;;;;
147044;3. klassetrin;Dansk;71;85;70;87;85;112;95;94;102;93;84;96;72;
147052;3. klassetrin;Dansk;76;100;85;64;67;73;66;66;56;69;57;61;84;
147053;3. klassetrin;Dansk;5;;;;;;;7;7;;7;;;
151003;3. klassetrin;Dansk;46;50;42;43;57;61;41;54;36;44;28;39;28;
151014;3. klassetrin;Dansk;20;21;19;22;29;19;20;20;21;37;22;22;21;
151018;3. klassetrin;Dansk;8;6;10;15;16;7;20;20;20;21;20;19;16;
151021;3. klassetrin;Dansk;16;23;34;23;20;43;22;21;21;40;20;21;35;
151022;3. klassetrin;Dansk;15;21;20;27;28;23;25;19;26;28;22;26;28;
151028;3. klassetrin;Dansk;7;6;5;;;8;5;12;13;17;10;11;;
151030;3. klassetrin;Dansk;;;;;;;;;;;;;;
153001;3. klassetrin;Dansk;39;22;;;;;;;;;;;;
153003;3. klassetrin;Dansk;55;50;;;;;;;;;;;;
153005;3. klassetrin;Dansk;49;38;;;;;;;;;;;;
153006;3. klassetrin;Dansk;22;23;;;;;;;;;;;;
153009;3. klassetrin;Dansk;38;26;;;;;;;;;;;;
153010;3. klassetrin;Dansk;13;10;;;;;;;;;;;;
153011;3. klassetrin;Dansk;19;8;;;;;;;;;;;;
153017;3. klassetrin;Dansk;;;;;;;;;;;;;;
153018;3. klassetrin;Dansk;;;64;73;74;67;69;71;78;75;65;78;58;
153019;3. klassetrin;Dansk;;;92;83;106;81;83;91;104;87;85;96;82;
153020;3. klassetrin;Dansk;;;54;62;59;40;42;66;46;59;57;55;42;
155004;3. klassetrin;Dansk;46;42;49;41;50;70;;;;;75;67;61;
157001;3. klassetrin;Dansk;55;55;45;52;50;56;57;84;56;54;64;53;65;
157002;3. klassetrin;Dansk;71;68;76;71;72;73;77;74;74;72;65;71;74;
157003;3. klassetrin;Dansk;99;71;95;70;81;75;73;76;95;76;74;89;69;
157005;3. klassetrin;Dansk;78;69;73;73;72;76;72;71;77;70;71;77;66;
157007;3. klassetrin;Dansk;42;50;37;46;45;66;42;41;68;61;69;65;62;
157008;3. klassetrin;Dansk;63;71;53;76;64;71;71;70;96;67;68;66;87;
157009;3. klassetrin;Dansk;71;93;75;78;74;74;72;72;72;89;69;90;75;
157010;3. klassetrin;Dansk;63;73;71;81;64;72;68;66;65;68;69;61;64;
157011;3. klassetrin;Dansk;72;65;59;67;58;59;70;66;67;63;78;49;50;
157012;3. klassetrin;Dansk;52;53;53;48;50;48;46;47;47;49;70;48;49;
157013;3. klassetrin;Dansk;53;52;53;54;50;51;50;51;54;52;51;52;55;
157015;3. klassetrin;Dansk;22;23;22;22;24;23;24;21;25;24;24;23;22;
157018;3. klassetrin;Dansk;46;49;41;48;49;47;53;46;50;53;45;46;45;
157019;3. klassetrin;Dansk;37;43;41;44;43;43;46;44;45;44;45;45;45;
157020;3. klassetrin;Dansk;33;30;28;28;26;50;26;26;29;28;31;26;23;
157034;3. klassetrin;Dansk;7;12;11;6;10;9;8;9;17;17;14;14;9;
157040;3. klassetrin;Dansk;47;39;39;37;47;44;46;43;43;36;44;43;46;
157041;3. klassetrin;Dansk;;9;6;9;9;6;14;10;13;9;13;12;14;
157047;3. klassetrin;Dansk;69;70;62;55;67;77;72;66;65;64;57;42;63;
159001;3. klassetrin;Dansk;40;34;78;68;60;63;63;73;76;91;75;72;60;
159002;3. klassetrin;Dansk;48;57;57;56;47;60;56;64;58;84;58;71;66;
159003;3. klassetrin;Dansk;33;37;40;;;;;;;;;;;
159004;3. klassetrin;Dansk;59;63;42;60;64;58;61;64;64;64;53;62;55;
159005;3. klassetrin;Dansk;21;27;35;54;53;61;73;57;85;74;92;66;64;
159006;3. klassetrin;Dansk;50;45;49;47;82;57;78;57;66;90;58;61;55;
159007;3. klassetrin;Dansk;40;40;44;42;;;;;;;;;;
159008;3. klassetrin;Dansk;20;31;34;16;44;32;32;35;45;23;52;31;34;
159009;3. klassetrin;Dansk;69;48;52;72;71;73;61;52;55;47;70;47;51;
159010;3. klassetrin;Dansk;40;30;45;39;50;71;72;76;55;59;54;44;57;
159011;3. klassetrin;Dansk;38;40;;;;;;;;;;;;
159012;3. klassetrin;Dansk;47;59;34;60;43;36;64;60;62;93;51;63;58;
159013;3. klassetrin;Dansk;21;36;27;27;25;19;21;21;14;15;21;21;22;
159015;3. klassetrin;Dansk;22;18;22;21;21;22;20;22;20;22;21;22;22;
159016;3. klassetrin;Dansk;37;37;17;38;35;38;39;38;40;37;38;39;39;
159017;3. klassetrin;Dansk;17;18;17;18;15;18;17;20;6;16;18;9;16;
159018;3. klassetrin;Dansk;15;19;18;20;17;19;22;21;22;19;22;21;23;
159031;3. klassetrin;Dansk;8;;6;;;;;;;;;;;
159034;3. klassetrin;Dansk;42;39;40;41;43;39;41;43;42;43;38;40;38;
159035;3. klassetrin;Dansk;;;;;;;;;;;5;;;
159039;3. klassetrin;Dansk;;;9;5;;7;;;;;;;6;
159040;3. klassetrin;Dansk;12;19;14;10;8;8;12;12;12;19;20;14;15;
161014;3. klassetrin;Dansk;;;;;;;;;;;5;;;
163001;3. klassetrin;Dansk;74;79;57;82;94;87;89;104;64;81;98;87;86;
163002;3. klassetrin;Dansk;37;40;30;;;;;;;;;;;
163003;3. klassetrin;Dansk;30;27;32;;;;;;;;;;;
163004;3. klassetrin;Dansk;22;20;21;45;33;58;64;64;63;66;93;74;62;
163006;3. klassetrin;Dansk;52;39;45;78;90;55;59;78;62;90;70;77;82;
163009;3. klassetrin;Dansk;20;19;24;22;22;22;22;21;23;24;23;23;23;
163012;3. klassetrin;Dansk;9;6;7;16;6;7;;12;8;11;10;5;10;
165001;3. klassetrin;Dansk;36;25;34;39;35;33;40;35;40;31;40;36;31;
165005;3. klassetrin;Dansk;12;18;29;;;;;;;;;;;
165006;3. klassetrin;Dansk;17;20;23;;;;;;;;;;;
165011;3. klassetrin;Dansk;20;17;24;19;21;21;22;19;18;22;22;20;22;
165013;3. klassetrin;Dansk;;8;;;;;;;;;;;;
165015;3. klassetrin;Dansk;24;8;5;8;;;6;5;9;6;5;;5;
165019;3. klassetrin;Dansk;73;75;66;66;78;63;78;79;78;79;77;90;78;
165020;3. klassetrin;Dansk;70;73;68;67;68;66;72;78;69;71;76;71;64;
167001;3. klassetrin;Dansk;64;59;86;67;62;64;61;76;66;69;60;69;71;
167002;3. klassetrin;Dansk;41;33;37;49;57;62;64;52;44;59;58;44;39;
167003;3. klassetrin;Dansk;55;46;43;45;53;61;48;67;67;47;42;71;57;
167004;3. klassetrin;Dansk;70;66;87;68;78;62;64;75;70;69;87;81;62;
167005;3. klassetrin;Dansk;46;46;50;39;41;49;47;44;48;55;46;43;45;
167006;3. klassetrin;Dansk;72;76;65;67;64;69;67;71;72;83;76;80;88;
167007;3. klassetrin;Dansk;22;18;30;16;;;;;;;;;;
167008;3. klassetrin;Dansk;27;23;17;16;20;17;13;27;27;40;36;48;37;
167009;3. klassetrin;Dansk;43;46;32;48;44;61;67;82;51;64;46;54;51;
167010;3. klassetrin;Dansk;7;10;20;6;;;;;;;;;;
167011;3. klassetrin;Dansk;55;52;54;52;54;46;47;54;34;45;54;59;53;
167013;3. klassetrin;Dansk;20;33;18;19;17;13;19;31;17;21;21;41;20;
167901;3. klassetrin;Dansk;;;;;;;;;;;;;;
169001;3. klassetrin;Dansk;39;42;39;50;44;51;50;48;63;61;50;55;56;
169003;3. klassetrin;Dansk;41;34;39;44;38;40;41;37;36;30;31;37;22;
169004;3. klassetrin;Dansk;36;26;25;27;;;;;;;;;;
169005;3. klassetrin;Dansk;22;38;20;;;;;;;;;;;
169006;3. klassetrin;Dansk;24;19;26;22;23;11;21;17;23;24;19;25;19;
169007;3. klassetrin;Dansk;46;38;45;52;56;68;61;56;57;71;60;69;64;
169008;3. klassetrin;Dansk;43;40;32;33;58;48;45;53;50;53;56;37;43;
169010;3. klassetrin;Dansk;34;37;29;27;38;51;46;46;45;45;44;39;37;
169012;3. klassetrin;Dansk;61;61;58;62;65;61;61;65;64;66;63;65;55;
169013;3. klassetrin;Dansk;28;21;25;29;39;28;26;47;32;12;17;15;16;
169015;3. klassetrin;Dansk;5;;;8;;;;;;;;;;
169016;3. klassetrin;Dansk;19;13;20;19;20;20;19;19;19;20;19;17;18;
169018;3. klassetrin;Dansk;17;17;12;15;17;17;16;17;19;18;17;18;16;
169019;3. klassetrin;Dansk;46;32;50;46;53;41;56;45;49;53;56;49;46;
169023;3. klassetrin;Dansk;;;;;;;;;;;;;;
173002;3. klassetrin;Dansk;83;83;94;82;91;82;85;103;97;91;93;89;101;
173003;3. klassetrin;Dansk;73;85;54;42;68;56;68;68;74;74;72;68;68;
173004;3. klassetrin;Dansk;63;91;74;72;65;71;78;68;77;95;91;80;76;
173005;3. klassetrin;Dansk;64;52;69;72;76;71;79;71;77;73;84;72;65;
173006;3. klassetrin;Dansk;32;39;44;38;47;42;44;29;56;35;45;28;26;
173007;3. klassetrin;Dansk;51;52;60;52;54;51;56;47;40;39;38;54;38;
173008;3. klassetrin;Dansk;20;20;19;22;18;15;26;22;17;21;22;18;19;
173009;3. klassetrin;Dansk;47;59;63;54;54;65;57;51;54;64;66;56;36;
173011;3. klassetrin;Dansk;96;99;92;94;104;94;97;91;110;99;102;114;94;
173012;3. klassetrin;Dansk;16;13;13;12;7;15;12;19;10;16;12;14;;
173013;3. klassetrin;Dansk;36;44;29;44;44;44;46;42;39;44;42;42;40;
173014;3. klassetrin;Dansk;14;7;11;15;11;16;7;9;16;15;21;12;12;
173018;3. klassetrin;Dansk;6;7;6;8;7;12;10;14;13;15;7;11;9;
173020;3. klassetrin;Dansk;;;8;6;6;;;15;16;18;18;18;16;
173024;3. klassetrin;Dansk;13;;;;;;;;6;;6;6;;
173901;3. klassetrin;Dansk;6;6;;6;7;5;6;5;9;10;9;7;;
175001;3. klassetrin;Dansk;38;48;36;50;52;53;36;56;53;58;56;50;53;
175002;3. klassetrin;Dansk;60;77;71;71;58;64;60;65;72;70;83;77;51;
175003;3. klassetrin;Dansk;67;61;62;58;63;62;67;69;71;61;80;70;64;
175004;3. klassetrin;Dansk;58;67;56;58;62;51;57;66;57;58;63;63;69;
175006;3. klassetrin;Dansk;56;38;39;34;45;37;49;39;48;43;36;46;36;
175007;3. klassetrin;Dansk;29;26;35;28;34;31;44;36;60;53;40;57;54;
175014;3. klassetrin;Dansk;11;6;;;14;10;12;;6;9;6;9;9;
175021;3. klassetrin;Dansk;;;;;5;6;;;;;9;5;;
181002;3. klassetrin;Dansk;40;54;39;36;54;44;51;51;61;50;45;39;;
181003;3. klassetrin;Dansk;37;45;57;21;49;37;33;37;35;36;38;52;;
181006;3. klassetrin;Dansk;49;49;47;50;48;50;54;45;47;41;39;40;;
181007;3. klassetrin;Dansk;59;47;59;47;46;64;52;54;49;54;40;67;41;
181008;3. klassetrin;Dansk;46;46;40;50;50;44;37;43;42;49;49;57;45;
181009;3. klassetrin;Dansk;91;117;96;114;121;89;88;88;91;85;98;104;87;
181010;3. klassetrin;Dansk;9;5;10;11;8;;6;11;8;5;5;;6;
181016;3. klassetrin;Dansk;66;69;67;73;72;77;70;81;86;77;68;89;;
181017;3. klassetrin;Dansk;;7;;8;;;;9;6;9;7;8;7;
181019;3. klassetrin;Dansk;;;;;;;;;;;;;;
183001;3. klassetrin;Dansk;22;24;39;23;25;22;27;25;24;24;23;25;21;
183002;3. klassetrin;Dansk;31;39;33;43;40;36;37;42;44;41;36;50;46;
183003;3. klassetrin;Dansk;27;37;20;27;28;17;32;19;20;20;22;24;23;
183004;3. klassetrin;Dansk;9;19;12;19;19;21;22;18;30;25;18;27;20;
183005;3. klassetrin;Dansk;27;17;34;18;14;26;24;31;31;24;30;23;21;
183008;3. klassetrin;Dansk;35;35;35;34;37;33;38;37;38;37;40;36;41;
183010;3. klassetrin;Dansk;;;;;;6;;;8;;12;;;
185002;3. klassetrin;Dansk;44;37;56;44;58;37;40;40;42;37;26;40;26;
185003;3. klassetrin;Dansk;60;63;60;75;66;69;68;89;93;90;65;86;63;
185004;3. klassetrin;Dansk;40;42;27;42;38;42;42;43;33;37;39;35;34;
185005;3. klassetrin;Dansk;44;49;69;84;107;90;97;117;118;104;113;113;114;
185006;3. klassetrin;Dansk;87;95;86;71;65;79;86;98;96;93;85;94;87;
185008;3. klassetrin;Dansk;45;39;8;;5;6;;7;;7;;7;11;
185010;3. klassetrin;Dansk;53;51;45;63;48;46;53;73;68;72;77;61;62;
185013;3. klassetrin;Dansk;18;17;18;16;15;17;21;19;17;23;23;22;23;
185014;3. klassetrin;Dansk;52;41;33;35;44;32;40;51;45;43;38;39;30;
185015;3. klassetrin;Dansk;;;;;;;;;;;;;;
187001;3. klassetrin;Dansk;63;62;59;54;61;70;58;74;73;77;76;87;76;
187002;3. klassetrin;Dansk;60;70;58;65;59;54;63;54;71;74;50;52;70;
187003;3. klassetrin;Dansk;21;39;28;32;27;37;30;33;32;29;34;30;27;
187005;3. klassetrin;Dansk;7;13;10;9;12;9;15;17;7;15;11;15;14;
187006;3. klassetrin;Dansk;;;6;;;;;;;5;;;5;
189001;3. klassetrin;Dansk;71;68;70;51;52;62;72;58;77;76;72;72;78;
189002;3. klassetrin;Dansk;57;38;37;49;32;32;27;53;27;43;30;60;53;
189003;3. klassetrin;Dansk;76;81;74;74;91;95;106;108;95;83;93;92;90;
189004;3. klassetrin;Dansk;74;67;76;73;74;80;76;64;76;78;64;74;80;
189005;3. klassetrin;Dansk;;;;5;;;;;;;;;;
190001;3. klassetrin;Dansk;;;5;;;;6;6;6;;;5;;
190002;3. klassetrin;Dansk;5;;;;;;;;;;;;;
190003;3. klassetrin;Dansk;;61;50;37;52;44;62;48;43;57;52;59;47;
201001;3. klassetrin;Dansk;42;48;38;41;37;37;47;43;39;26;36;41;30;
201002;3. klassetrin;Dansk;85;69;78;94;83;79;71;74;64;67;71;54;55;
201011;3. klassetrin;Dansk;;;6;9;5;5;5;;7;7;5;;;
201012;3. klassetrin;Dansk;;;;;;;;;;;;;;
205001;3. klassetrin;Dansk;58;69;48;41;60;46;50;53;62;52;49;50;;
205002;3. klassetrin;Dansk;67;55;46;53;67;60;44;41;35;45;22;35;;
205003;3. klassetrin;Dansk;37;34;49;36;41;33;52;38;33;26;46;45;;
205004;3. klassetrin;Dansk;40;42;35;30;;;;;;;;;;
205005;3. klassetrin;Dansk;38;48;40;47;43;48;45;50;50;45;43;48;;
205006;3. klassetrin;Dansk;18;35;43;41;22;20;42;43;40;39;42;41;41;
205008;3. klassetrin;Dansk;45;43;39;28;;;;;;;;;;
207002;3. klassetrin;Dansk;69;74;73;70;68;68;80;70;75;68;70;66;71;
207003;3. klassetrin;Dansk;55;62;62;55;52;64;56;47;55;52;55;38;52;
207005;3. klassetrin;Dansk;34;;;;;;;;;;;;;
207006;3. klassetrin;Dansk;43;;;;;;;;;;;;;
207007;3. klassetrin;Dansk;49;42;46;46;49;44;47;45;45;49;46;46;46;
208001;3. klassetrin;Dansk;46;53;31;;;;;;;;;;;
208002;3. klassetrin;Dansk;48;52;44;;;;;;;;;;;
208003;3. klassetrin;Dansk;44;46;47;;;;;;;;;;;
208004;3. klassetrin;Dansk;13;13;14;;;;;;;;;;;
208005;3. klassetrin;Dansk;17;18;20;15;19;18;19;10;18;19;18;18;22;
208007;3. klassetrin;Dansk;60;51;45;57;45;56;56;54;57;50;41;50;48;
208008;3. klassetrin;Dansk;44;44;36;41;49;42;41;40;49;39;44;48;38;
209001;3. klassetrin;Dansk;40;34;27;68;44;50;60;;;;;;;
209002;3. klassetrin;Dansk;34;35;39;;;;;;;;;;;
209005;3. klassetrin;Dansk;67;86;64;66;68;69;70;71;70;71;68;70;68;
209010;3. klassetrin;Dansk;36;44;47;45;40;50;51;;;;;;;
211004;3. klassetrin;Dansk;40;58;48;34;36;56;44;43;;;36;42;29;
211006;3. klassetrin;Dansk;27;28;28;47;27;35;45;33;28;;;33;31;
211009;3. klassetrin;Dansk;37;36;28;21;36;56;36;53;45;85;62;36;30;
213001;3. klassetrin;Dansk;34;38;41;28;;;;;;;;;;
213003;3. klassetrin;Dansk;33;42;38;54;;;;;;;;;;
213004;3. klassetrin;Dansk;33;41;39;38;;;;;;;;;;
213007;3. klassetrin;Dansk;22;24;23;24;23;24;23;23;20;24;19;6;14;
213008;3. klassetrin;Dansk;21;23;24;24;24;21;23;24;19;18;18;17;19;
213015;3. klassetrin;Dansk;60;75;68;53;;;;;;;;;;
215001;3. klassetrin;Dansk;43;42;42;53;50;45;48;55;60;51;37;40;48;
215002;3. klassetrin;Dansk;20;;;;;;;;;;;;;
215004;3. klassetrin;Dansk;34;37;39;30;;;;;;15;14;15;5;
215007;3. klassetrin;Dansk;73;70;70;71;95;87;95;89;94;93;88;88;60;
215008;3. klassetrin;Dansk;8;5;13;7;10;10;13;13;9;11;10;8;12;
215009;3. klassetrin;Dansk;29;;;;;;;;;;;;;
217002;3. klassetrin;Dansk;86;84;85;88;79;83;69;80;61;76;71;88;51;
217003;3. klassetrin;Dansk;65;67;66;67;76;72;54;64;59;45;48;39;40;
217005;3. klassetrin;Dansk;13;19;9;;;;;;;;;;;
217012;3. klassetrin;Dansk;18;29;16;16;18;25;22;23;25;21;23;25;20;
217016;3. klassetrin;Dansk;19;20;18;19;17;21;22;22;22;20;22;19;22;
217020;3. klassetrin;Dansk;19;25;26;27;21;22;23;24;25;20;29;20;23;
217029;3. klassetrin;Dansk;;;;;;;;;;;;;;
217035;3. klassetrin;Dansk;;;;;;;;;;;;;;
219001;3. klassetrin;Dansk;40;44;45;;;;;;;;;;;
