;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INSTNR;GRADE;TYPE;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;
461031;1. klassetrin;<uoplyst>;;;;;;;;5;;;;;;
461042;1. klassetrin;<uoplyst>;;;;;;;;;;;;;;
471008;1. klassetrin;<uoplyst>;;;;;;;;;;;;;;
481001;1. klassetrin;<uoplyst>;;;;;;;;;;;;;;
503006;1. klassetrin;<uoplyst>;;;;;;;;;;;;;;
561035;1. klassetrin;<uoplyst>;;;8;;;;;;;;;;;
565009;1. klassetrin;<uoplyst>;;;;;;;;;5;;;;;
617002;1. klassetrin;<uoplyst>;;;;;;;;;;;;;;
631006;1. klassetrin;<uoplyst>;;;;;;;;;;;;;;
661012;1. klassetrin;<uoplyst>;;;;;;;;;;;;9;;
710003;1. klassetrin;<uoplyst>;;;;;;;;;;;;;;
740005;1. klassetrin;<uoplyst>;;;;;;;;;;;;;;
751010;1. klassetrin;<uoplyst>;;;;;;;;;;;;;;
751023;1. klassetrin;<uoplyst>;;;;;;;;;;;;;;
756002;1. klassetrin;<uoplyst>;;;;;;;;;;;;;;
779007;1. klassetrin;<uoplyst>;;;;;;;;;6;;;;;
787012;1. klassetrin;<uoplyst>;;;;;;;;6;;;;;;
809001;1. klassetrin;<uoplyst>;;;;;;;5;6;12;6;;;;
811001;1. klassetrin;<uoplyst>;;;;;31;;;;;;;;;
851066;1. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101007;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101055;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101075;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101081;2. klassetrin;<uoplyst>;;;;;;;;;5;;;;;
101089;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101152;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101175;2. klassetrin;<uoplyst>;;;;;;;;5;;;;;;
101621;2. klassetrin;<uoplyst>;;;;;;;6;5;;;;;;
147019;2. klassetrin;<uoplyst>;5;;6;5;;6;7;;8;7;;;;
157001;2. klassetrin;<uoplyst>;;;;;;;5;;;;;;;
157010;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
157018;2. klassetrin;<uoplyst>;7;;11;12;;6;10;8;11;;;;;
157041;2. klassetrin;<uoplyst>;12;;9;12;5;7;22;12;7;;;;;
159012;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
167001;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
173006;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
175007;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
227008;2. klassetrin;<uoplyst>;;;;;;;5;;;;;;;
259011;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280093;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280241;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280325;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280334;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280361;2. klassetrin;<uoplyst>;;;;;;;;;5;;;;;
280397;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280462;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280495;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280595;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280597;2. klassetrin;<uoplyst>;;;;;;;;;9;;;;;
280669;2. klassetrin;<uoplyst>;;;;;;;;5;;;;;;
280705;2. klassetrin;<uoplyst>;;;;;;;;;20;6;19;;;
280760;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
281437;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
281618;2. klassetrin;<uoplyst>;;;;;;;;;5;;;;;
329005;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
329013;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
400009;2. klassetrin;<uoplyst>;;;;;;;;;5;15;;;;
400014;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
461031;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
481001;2. klassetrin;<uoplyst>;;;;;;;;;7;;;;;
503006;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
537007;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
545009;2. klassetrin;<uoplyst>;;;;;;;5;;;;;;;
575011;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
617002;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
657018;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
740005;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
743002;2. klassetrin;<uoplyst>;;;;;;;;5;;;;;;
751010;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
751014;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
751023;2. klassetrin;<uoplyst>;;;;;;5;;;;;;;;
756002;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
779007;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
791006;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
791013;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
809001;2. klassetrin;<uoplyst>;;;;;;;;6;13;5;;;;
851066;2. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101015;3. klassetrin;<uoplyst>;;;;;;;;;6;;;;;
