SOGNEKODE	REGIONKODE	KOMKODE
9180	1081	849
9234	1081	849
9183	1082	741
9004	1083	540
9005	1083	540
9006	1083	540
9007	1083	540
9008	1083	540
9009	1083	540
9019	1083	540
9025	1083	540
9028	1083	540
9259	1083	540
8988	1083	540
8989	1083	540
8990	1083	540
8991	1083	540
8992	1083	540
8993	1083	540
8994	1083	540
8995	1083	540
8996	1083	540
8997	1083	540
8998	1083	540
8999	1083	540
9000	1083	540
9001	1083	540
9002	1083	540
9003	1083	540
7206	1085	259
7207	1085	259
7214	1085	259
7215	1085	259
7216	1085	259
7217	1085	259
7218	1085	259
7492	1085	259
7536	1085	259
7537	1085	259
7538	1085	259
7539	1085	259
7540	1085	259
7541	1085	259
9117	1085	259
7964	1082	615
7966	1082	615
7967	1082	615
7968	1082	615
7989	1082	615
7991	1082	615
7994	1082	615
7995	1082	615
7996	1082	615
7997	1082	615
8006	1082	615
8037	1082	615
8038	1082	615
8042	1082	615
8043	1082	615
8044	1082	615
8045	1082	615
8046	1082	615
8047	1082	615
8048	1082	615
8049	1082	615
8050	1082	615
8051	1082	615
8052	1082	615
8053	1082	615
8054	1082	615
8055	1082	615
8056	1082	615
9077	1082	615
8740	1082	661
8741	1082	661
8742	1082	661
8745	1082	661
8746	1082	661
8760	1082	661
8813	1082	661
8814	1082	661
8815	1082	661
8819	1082	661
8821	1082	661
8825	1082	661
8826	1082	661
8827	1082	661
8828	1082	661
8829	1082	661
8832	1082	661
8833	1082	661
8834	1082	661
8835	1082	661
8836	1082	661
9130	1082	661
9202	1082	661
9203	1082	661
9204	1082	661
9206	1082	661
9207	1082	661
9317	1082	661
8159	1082	707
8160	1082	707
8161	1082	707
8162	1082	707
8166	1082	707
8167	1082	707
8168	1082	707
8169	1082	707
8170	1082	707
8171	1082	707
8217	1082	707
8218	1082	707
8221	1082	707
8222	1082	707
8231	1082	707
8232	1082	707
8233	1082	707
8234	1082	707
8235	1082	707
8236	1082	707
8237	1082	707
8238	1082	707
8239	1082	707
8240	1082	707
8241	1082	707
8260	1082	707
8261	1082	707
8262	1082	707
8263	1082	707
8264	1082	707
8265	1082	707
8266	1082	707
8267	1082	707
8268	1082	707
9159	1082	707
7810	1083	410
7823	1083	410
7824	1083	410
7825	1083	410
7826	1083	410
7827	1083	410
7828	1083	410
7829	1083	410
7830	1083	410
7831	1083	410
7832	1083	410
7834	1083	410
7835	1083	410
7836	1083	410
7837	1083	410
7838	1083	410
7839	1083	410
7840	1083	410
7841	1083	410
7842	1083	410
9255	1083	410
7927	1083	621
7928	1083	621
7929	1083	621
7930	1083	621
7931	1083	621
7932	1083	621
7933	1083	621
7934	1083	621
7936	1083	621
7937	1083	621
7939	1083	621
7940	1083	621
7941	1083	621
7942	1083	621
7943	1083	621
7944	1083	621
7945	1083	621
7946	1083	621
7947	1083	621
8935	1083	621
8936	1083	621
8939	1083	621
8940	1083	621
8941	1083	621
8981	1083	621
8983	1083	621
8984	1083	621
8985	1083	621
9067	1083	621
9116	1083	621
7667	1085	360
7668	1085	360
8655	1082	671
8656	1082	671
8657	1082	671
8658	1082	671
7702	1083	482
7703	1083	482
7704	1083	482
7705	1083	482
7706	1083	482
7707	1083	482
7708	1083	482
7709	1083	482
7710	1083	482
7711	1083	482
7712	1083	482
7741	1083	482
7742	1083	482
7743	1083	482
7744	1083	482
7745	1083	482
9254	1083	482
8668	1081	773
8669	1081	773
8670	1081	773
8671	1081	773
8672	1081	773
8673	1081	773
8674	1081	773
8675	1081	773
8676	1081	773
8677	1081	773
8678	1081	773
8679	1081	773
8680	1081	773
8681	1081	773
8682	1081	773
8692	1081	773
8693	1081	773
8694	1081	773
8695	1081	773
8696	1081	773
8697	1081	773
8698	1081	773
8699	1081	773
8701	1081	773
8702	1081	773
8703	1081	773
8704	1081	773
8705	1081	773
8706	1081	773
8707	1081	773
8708	1081	773
9236	1081	773
7690	1083	479
7691	1083	479
7692	1083	479
7304	1085	370
7305	1085	370
7306	1085	370
7307	1085	370
7317	1085	370
7318	1085	370
7328	1085	370
7329	1085	370
7330	1085	370
7331	1085	370
7332	1085	370
7333	1085	370
7334	1085	370
7335	1085	370
7336	1085	370
7337	1085	370
7462	1085	370
7463	1085	370
7464	1085	370
7465	1085	370
7472	1085	370
7473	1085	370
7499	1085	370
7500	1085	370
7501	1085	370
7502	1085	370
7503	1085	370
7504	1085	370
7505	1085	370
7506	1085	370
7510	1085	370
7511	1085	370
7513	1085	370
7514	1085	370
7515	1085	370
7516	1085	370
7517	1085	370
7518	1085	370
7519	1085	370
7520	1085	370
9111	1085	370
9162	1085	370
7483	NA	NA
8438	NA	NA
8700	NA	NA
9172	NA	NA
