KOMKODE	REGIONKODE	REGIONNAVN	WKT_GEO
167	1084	Region Hovedstaden	MULTIPOLYGON(((720716.68 6168747.12,720706.2 6168710.33,720545.96 6168383.32,720213.31 6168233.85,720163.66 6167645.9,719971.6 6167215.01,719517.17 6166827.77,719248.78 6167180.49,718060.22 6167265.53,717174.72 6167447.69,717086.3 6167721.75,716836.82 6168587.8,716504.2 6169255.97,716734.86 6169374.95,716312.17 6170037.88,715916.57 6170440.76,715599.29 6171384.83,715662.01 6171653.17,716294.32 6171973.3,717697.95 6172354.06,717427.71 6172973.27,717302.22 6173517.5,717341.01 6174161.08,717164.43 6174184.25,717811.54 6174219.41,718478.58 6174398,718750.43 6174339.64,718817.58 6173323.77,719425.9 6172746.24,719627.04 6172259.68,720332.71 6171710.71,720701.99 6171123.43,720459.13 6170065.72,720229.28 6169998.7,719998.5 6169276.94,720336.12 6168800.46,720716.68 6168747.12)))
169	1084	Region Hovedstaden	MULTIPOLYGON(((704228.34 6178416.34,704353.24 6178080.36,705424.44 6177981.87,706158.85 6177643.79,706444.28 6177609.1,707059.2 6177273.82,708087.85 6176957.94,708559.42 6176246.05,708838.17 6175254.35,708468.95 6174602.6,708957.74 6173409.12,708871.26 6172866.12,709498.37 6172126.54,709824.21 6172126.87,710270.91 6171295.65,710627.21 6170824.76,710260.86 6170638.83,709750.17 6170607.66,709312.88 6170760.13,708186 6170682.77,707026.36 6170464.91,706345.39 6170215.34,705231.69 6170189.28,704093.85 6170059.88,703297.32 6170294.68,702204.36 6170162.96,702478.74 6169770.69,702093.73 6168233.66,702463.48 6168218.77,702497.85 6167640.84,702262.11 6167532.99,702171.23 6166743.3,700201.71 6167076.22,698985.94 6167518.54,699234.82 6168518.09,699335.29 6169915.56,698720.33 6169851.99,698681.89 6172030.8,699050.72 6172003.81,698964.7 6172494.37,698612.88 6172612.2,698650.96 6173401.91,698201.03 6173483.79,698117.59 6173967.62,698687.13 6174026.91,699227.7 6174612.25,699209.75 6175208.14,700022.94 6175369.09,700229.25 6175979.04,700660.08 6176037.4,701908.32 6175945.32,702432.65 6176763.51,702995.42 6177083.12,703447.83 6177669.01,703919 6177977.75,704228.34 6178416.34)))
173	1084	Region Hovedstaden	MULTIPOLYGON(((724480.41 6190504.92,724805.07 6190095.76,725038.68 6189169.85,725408.11 6188354.67,725300.34 6187369.22,724895.55 6187204.33,724747.56 6186910.17,723990.23 6186719.65,723519.94 6186316.79,723248.57 6186277.05,722351.21 6186568.34,721966.97 6186560.82,721479.26 6186067.75,720819.33 6185249.33,720109.05 6185221.72,719623.55 6184869.09,718301.38 6184893.7,718390.33 6185559.62,718561.52 6186015.74,718353.56 6186462.93,717910.1 6186597.06,717486.74 6186420.53,717204.7 6185802.82,716906.73 6186196.49,716265.38 6186240.83,715666.9 6186583.54,714925.73 6186347.26,714064.11 6186388.12,714212.99 6187001.42,714118.33 6187997.79,714327.64 6188346.42,714156.67 6188562.51,714981.42 6189111.57,716440.08 6189163.18,717590.94 6189504.69,718064.04 6189161.59,718532.29 6189273.42,720070.74 6189476.11,720649.24 6189896.96,721097.79 6189734.36,721806.82 6189801.17,722256.06 6189964.94,722492.41 6190347.61,723047.48 6190210.65,723659.8 6190666.7,724321.91 6190433.71,724480.41 6190504.92)))
175	1084	Region Hovedstaden	MULTIPOLYGON(((715360.59 6174616.5,715267.63 6175087.02,715739.18 6176776.69,715538.75 6176979.62,715332.83 6178736.47,715402.18 6178862.51,715742.97 6179479.27,716482.19 6179732.31,716853.61 6179758.87,716908.1 6179457.14,716975.74 6178898.63,717186.07 6178598.21,717665.25 6178398.82,717667 6177680.8,717850.27 6177403.87,718000.62 6176183.18,718291.55 6175666.37,718493.65 6175067.19,718732.64 6175070.2,718750.43 6174339.64,718478.58 6174398,717811.54 6174219.41,717164.43 6174184.25,716885.55 6174191.99,716764.82 6174759.61,716481.2 6174896.27,715360.59 6174616.5)))
183	1084	Region Hovedstaden	MULTIPOLYGON(((710627.21 6170824.76,711274.45 6169849.79,711776.74 6169578.57,712651.49 6168668.8,712786.08 6168390.61,713202.1 6168085.9,714160.19 6167870.19,714023.49 6167491.39,713595.33 6167293.6,712630.72 6166587.98,712548.58 6166390.89,711907.04 6166032.39,711367.3 6166923.52,710722.42 6167040.52,710514.12 6167324.56,709667.78 6167598.52,708813.08 6167610.78,708018.12 6168053.21,707878.08 6167933.4,707407.06 6168429.49,707063.62 6168244.24,706460.84 6168831.87,705933.83 6168811.99,705488.47 6168567.3,705104.74 6168194.01,704466.4 6168126.4,704234.31 6167878.02,703692.4 6168653.38,703418.19 6168180.31,702463.48 6168218.77,702093.73 6168233.66,702478.74 6169770.69,702204.36 6170162.96,703297.32 6170294.68,704093.85 6170059.88,705231.69 6170189.28,706345.39 6170215.34,707026.36 6170464.91,708186 6170682.77,709312.88 6170760.13,709750.17 6170607.66,710260.86 6170638.83,710627.21 6170824.76)))
185	1084	Region Hovedstaden	MULTIPOLYGON(((731170.66 6168407.88,730348.67 6168386.83,729773.31 6168520.13,728776.3 6168513.28,728755.9 6167731.5,728171.03 6167895.36,728178.72 6167009.22,727941.83 6166373.53,728023.73 6166003.88,727846.63 6165302.78,727540.32 6164910.81,726425.34 6164893.88,726279.96 6165227.98,724636.53 6164635.98,723529.73 6164249,722800.3 6164277.46,722395.5 6164613.17,721541.04 6165971.76,721222.57 6166783.67,721007.03 6167930.46,721229.42 6168695.31,721881.05 6168919.11,724761.75 6169067.53,724972.96 6169129.02,726142.32 6169960.12,726175.63 6171174.59,726081.06 6171640.85,726505.44 6171655.55,728260.93 6172138.68,728164.21 6172398.79,729528.46 6172751.97,729539.11 6172416.51,729885.46 6172171.56,730200.87 6171420.1,731008.77 6171437.26,731499.08 6171262.68,731720.12 6170891.85,731826.95 6169375.33,731768.66 6168854.14,731539.18 6168505.47,731170.66 6168407.88)),((735214.57 6173997.02,735542.81 6174656.6,735624.47 6175289.72,736163.77 6175324.28,736619.61 6175560.88,736951.8 6176082.76,737464.4 6175383.73,737674.22 6174825.23,737847 6173717.21,737889.98 6172643.67,738119.13 6172496.95,737997.97 6171640.2,738259.14 6170615.5,738578.04 6170361.98,738425.21 6169851.03,738813.27 6169148.43,738337.24 6168987.14,738182.88 6168764.46,737227.46 6168694.41,736911.93 6168966.19,736819.21 6169555.06,736062.86 6170116.48,735637.41 6170309.46,735646.47 6170979.39,735326.05 6171249.12,735080.45 6171760.6,735229.56 6172444.27,735070.81 6172807.98,735250.89 6173502.8,735214.57 6173997.02)))
187	1084	Region Hovedstaden	MULTIPOLYGON(((710270.91 6171295.65,710519.92 6171851.47,711041.49 6172146.23,710919.46 6172765.07,711681.58 6172953.08,712732.68 6171592.14,713529.26 6170059.58,714302.74 6168862.93,714436 6168185.71,714160.19 6167870.19,713202.1 6168085.9,712786.08 6168390.61,712651.49 6168668.8,711776.74 6169578.57,711274.45 6169849.79,710627.21 6170824.76,710270.91 6171295.65)))
190	1084	Region Hovedstaden	MULTIPOLYGON(((707028.55 6184684.14,706813.66 6185330.9,706578.16 6185542.25,706621.57 6186405.64,707484.31 6186219.75,707632.02 6186689.83,707986.48 6187319.5,707787.24 6187522.41,707232.88 6187620.47,707165.89 6187972.5,708766.42 6188227.46,709027.72 6189036.55,708869.98 6189901.8,708408.22 6190202.36,708194.05 6190566.56,707862.79 6190765.52,707591.4 6191491.8,708567.43 6192071.58,709305.72 6192349.09,709731.57 6192654.49,710183.21 6193402.95,710109.21 6193832.13,710372.02 6194421.48,710841.77 6194683.98,710987.39 6194293.23,712116.72 6193736.74,712430.45 6193438.14,712656.79 6193272.49,712683.76 6192528.57,713011.08 6192339.82,714190.72 6192030.31,714187.96 6191616.99,714369.62 6191205.07,714651.3 6191038.08,714649.62 6190531.88,714434.55 6190338.33,713850.23 6189259.25,714156.67 6188562.51,714327.64 6188346.42,714118.33 6187997.79,714212.99 6187001.42,714064.11 6186388.12,714925.73 6186347.26,715666.9 6186583.54,714841.39 6186002.97,714456.28 6186107.01,714343.84 6185811.4,714370.32 6183874.19,713722.42 6183874.38,713437.07 6184228.34,712968.13 6184397.08,712074.1 6184675.4,711872.36 6184139.45,711023.21 6183795.46,710642.03 6183844.05,710123.67 6184099.72,709474.49 6184062.58,709141.27 6184381.34,708710.96 6184234.7,708116.88 6184446.94,707836.41 6184336.93,707028.55 6184684.14)))
201	1084	Region Hovedstaden	MULTIPOLYGON(((702290.53 6193642.3,702509.96 6193959.2,702436.06 6194491.96,702942.62 6194729.09,703160.55 6194534.37,703749.2 6194526.03,704212.53 6194666.56,704140.17 6195100.51,704960.74 6195638.26,705147.65 6195894.13,705153.92 6197221.17,704816.71 6197827.85,705377.52 6198041.08,705974.07 6197887.75,706494.02 6198355.09,706842.09 6197820.44,707381.18 6197767.94,707335.13 6198145.73,707073.87 6198534.16,707001.32 6199058.55,707704.4 6198899.15,709731.52 6199607.29,710148.85 6199184.93,710876.01 6199999.77,711444.2 6199736.88,711998.59 6199654.23,712309.69 6198801.76,712468.79 6198725.8,712768.68 6198721.47,712879.45 6197902.76,712556.79 6197666.06,713000.09 6197455.07,713479.03 6197064.22,714075.35 6196932.98,714401.85 6196633.13,713814.84 6196052.12,713739.81 6194908.79,713392.75 6194361.37,712927.99 6194671.51,712739.29 6194301.06,712982.73 6193769.15,712430.45 6193438.14,712116.72 6193736.74,710987.39 6194293.23,710841.77 6194683.98,710372.02 6194421.48,710109.21 6193832.13,710183.21 6193402.95,709731.57 6192654.49,709305.72 6192349.09,708567.43 6192071.58,707591.4 6191491.8,707862.79 6190765.52,708194.05 6190566.56,708408.22 6190202.36,707862.86 6190330.66,707463.51 6190700.54,707074.86 6190875.7,705770.45 6190983.18,705340.94 6190539.08,704796.63 6190636.31,704430.78 6190452.56,703861.66 6190743.46,702866.09 6190657.13,702410.21 6190766.87,701963.02 6191152.53,701051.22 6191628.78,700890.78 6191571.05,701094.65 6192181.2,701395.24 6192294.17,701497.38 6192785.78,701963 6192858.99,702290.53 6193642.3)))
210	1084	Region Hovedstaden	MULTIPOLYGON(((712468.79 6198725.8,712309.69 6198801.76,711998.59 6199654.23,711444.2 6199736.88,710876.01 6199999.77,712156.82 6201390.69,711078.95 6202490.58,710547.83 6203126.2,710795.04 6203303.05,710273.58 6204566.38,709588.04 6204697.46,709407.5 6205061.35,708917.17 6205456.47,709430.98 6205887.59,710001.42 6206128.1,709668.76 6206922.56,709552.77 6207626.8,710133.41 6208001.26,710128.9 6209192.31,710016.88 6209512.75,710211.52 6210281.93,710490.22 6210908.59,710597.87 6211409.82,711039.01 6212203.11,711278.98 6212855.62,711874.54 6212783.26,712560.19 6212586,712983.62 6211902.11,713566.3 6211734.73,713844.58 6211238.91,714158.12 6211273.41,714346.15 6211798.73,715230.35 6211917.19,715711.9 6212247.58,716233.7 6212361.54,716606.23 6212182.88,716550.22 6210597.04,716678.59 6209798.76,717086.79 6209575.43,717198.18 6210041.61,717715.09 6210310.99,718289.47 6209844,718833.21 6209873.03,718821.9 6210130.92,719574.55 6210145.45,719785.67 6209713.33,719574.7 6209104.63,720661.81 6209549.11,721036.64 6209565.97,721398.77 6209203.47,721227.29 6208711.43,721074.24 6207715.65,720734.71 6206612.43,720495.14 6206105.74,720261.41 6205250.6,720210.87 6204578.01,719956.88 6204113.14,720101.9 6203736.29,719779.8 6203319.73,719771.91 6202782.56,720153.4 6202048.95,719680.28 6201827.23,719468.64 6201143.23,718425.62 6200739.55,718185.71 6200812.13,717123.84 6200530.03,716530.44 6200264.83,716347.04 6199797.04,715840.79 6199973.82,715633.33 6199837.77,714899.44 6199911.21,714922.29 6199653.21,714092.2 6199029.16,713634.94 6199218.51,713222.78 6199216.07,712563.86 6198917.7,712468.79 6198725.8)))
